Company,City,Country,Industry,Investor,Last Valuation,Unicorn
Navisens,San Francisco,United States,Augmented Reality,Gokul Rajaram,8000000,0
ParentPowered,Palo Alto,United States,EdTech,American Family Insurance Institute for Corporate and Social Impact,8000000,0
James [Acquired],New York,United States,Artificial Intelligence,Seedcamp,8000000,0
Two Tap,San Francisco,United States,E-Commerce,Y Combinator,8000000,0
CounterFlow,Crozet,United States,Computer,OUP (Osage University Partners),8000000,0
Bedly,New York,United States,Commercial Real Estate,MassChallenge,8000000,0
Happily,Oklahoma City,United States,Big Data,i2E,8000000,0
Knock Software,Portland,United States,Security,,8000000,0
Rust Patrol,Houston,United States,Chemical,Houston Angel Network,8000000,0
Indee Labs,San Francisco,United States,Biotechnology,IndieBio,8000000,0
Spirit Media,Happy Valley,United States,Media and Entertainment,Gannett,8000000,0
Doblet,San Francisco,United States,Hardware,Y Combinator,8000000,0
Elite Jetting,Santa Monica,United States,In-Flight Entertainment,,8280942,0
TradeBlock,Stamford,United States,Bitcoin,Digital Currency Group,8500000,0
Mobile Action,San Francisco,United States,Advertising,500 Global,8500000,0
Teal Drones,Salt Lake City,United States,Drones,Alumni Ventures,8500000,0
Blueprint Income,New York,United States,InsurTech,Plug and Play,8500000,0
DipJar,Boston,United States,FinTech,Bolt,8500000,0
Gridics,Miami,United States,Commercial Real Estate,Dune Road Capital Partners,8500000,0
BlazingDB,Austin,United States,Analytics,NVIDIA,8500000,0
Werk,New York,United States,Analytics,Precursor Ventures,8500000,0
REscour,Atlanta,United States,Commercial Real Estate,LAUNCH,8500000,0
Capillary Biomedical,Irvine,United States,Biotechnology,Tech Coast Angels,8500000,0
Krome Photos,Palo Alto,United States,Artificial Intelligence,RiverPark Ventures,8500000,0
PayQwick,Calabasas,United States,Banking,,8500000,0
Ichor Therapeutics,La Fayette,United States,Biotechnology,KIZOO Technology Capital,8500000,0
Rizort,San Francisco,United States,E-Commerce,Mumbai Angels,8500000,0
Doxly,Indianapolis,United States,Apps,IU Ventures,8500000,0
LendingStandard,Kansas City,United States,Banking,SixThirty,8500000,0
Riff,Bend,United States,CleanTech,Bend Venture Conference,8500000,0
Relovate,Mount Arlington,United States,Software,Sheli Gupta,8500000,0
Trendy Butler,Los Angeles,United States,Fashion,SOSV,8700000,0
Cloud DX,Brooklyn,United States,Health Care,NGEN Partners,8882000,0
Leap Services,Chicago,United States,Brand Marketing,Costanoa Ventures,9000000,0
interviewing.io,San Francisco,United States,Recruiting,M13,9000000,0
SCYTHE,Arlington,United States,Cyber Security,Energy Impact Partners,9000000,0
Bigscreen,San Francisco,United States,Apps,Andreessen Horowitz,9000000,0
Plato,San Jose,United States,Mobile,,9000000,0
Copper Cow Coffee,Los Angeles,United States,Agriculture,500 Global,9000000,0
Emmersion,Lehi,United States,Artificial Intelligence,NEXT Frontier Capital,9000000,0
Esports One,Santa Monica,United States,Analytics,Alumni Ventures,9000000,0
Follain,Boston,United States,Beauty,Team Launch,9000000,0
ItsaCheckmate,New York,United States,E-Commerce,Tiger Global Management,9000000,0
RADAR,Denver,United States,Blockchain,Digital Currency Group,9000000,0
Simplifeye,New York,United States,Apps,Haystack,9000000,0
Amplify.ai,Palo Alto,United States,Artificial Intelligence,Costanoa Ventures,9000000,0
Tourmo,San Diego,United States,Artificial Intelligence,Tech Coast Angels,9000000,0
LyGenesis,Pittsburgh,United States,Biotechnology,Juvenescence,9000000,0
IMGN Media,New York,United States,Content,NXTP Ventures,9000000,0
Zangi Messenger,Santa Clara,United States,Enterprise Software,Renesa Investment Company,9000000,0
Eversound,Boston,United States,Audio,Shelter Capital Partners,9000000,0
HANDLE Global,Louisville,United States,Health Care,Keyhorse Capital (KSTC),9000000,0
Inflect,San Francisco,United States,Cloud Infrastructure,Kyle Vogt,9000000,0
InvisionHeart,Nashville,United States,Health Care,Jumpstart Foundry,9000000,0
Empiric Health,Salt Lake City,United States,Health Care,Intermountain Healthcare,9000000,0
OB1,Fairfax,United States,Bitcoin,Digital Currency Group,9000000,0
SafeWire,Columbus,United States,Blockchain,Precursor Ventures,9000000,0
Improved Nature,Garner,United States,Agriculture,Wolfpack Investor Network,9000000,0
Zest Tea,Baltimore,United States,Consumer Goods,(Momentum Fund) University System of Maryland,9000000,0
Untapt,New York,United States,Artificial Intelligence,WorldQuant Ventures LLC,9000000,0
Breethe,Baltimore,United States,Biotechnology,,9000000,0
kwik,Palo Alto,United States,Brand Marketing,Relay Ventures,9000000,0
Little Labs,Venice,United States,Messaging,Lightspeed Venture Partners,9000000,0
Pazien,Newton,United States,Business Development,Worldpay,9000000,0
Otto Radio,San Francisco,United States,Automotive,Samsung NEXT,9000000,0
Tulavi Therapeutics,Mountain View,United States,Biotechnology,,9000000,0
King Children,Brooklyn,United States,3D Printing,Great Oaks Venture Capital,9000000,0
Synspira,Boston,United States,Biotechnology,Cystic Fibrosis Foundation,9000000,0
PillDrill,San Francisco,United States,Clinical Trials,Brinc,9000000,0
Recursive Labs,St Louis,United States,Big Data,Missouri Technology Corporation,9000000,0
Ubio Labs,Bellevue,United States,Consumer Electronics,Jason Lemelson,9000000,0
Vixiar Medical,Baltimore,United States,Biotechnology,Gaingels,9000000,0
